age	mean	sd	5%	95%
1	32.6766	8.1844	21.0064	47.6795
2	373.6775	70.6571	271.5387	506.2872
3	2579.5486	246.8189	2172.085	2973.006
4	1083.136	151.2687	867.515	1353.8699
5	388.4793	71.4617	280.0354	512.2863
6	213.6174	41.2148	151.1178	288.6095
7	43.0735	11.7837	27.2595	64.1785
8	11.3219	3.8531	5.9581	18.3354
9	10.9695	4.005	5.5181	17.3781
10	17.0963	6.06	9.9148	29.4533
11	3.2038	1.2453	1.6418	5.4626
12	1.5602	0.7116	0.5203	2.805
13	3.4561	1.5938	1.5628	6.5523
14	0.1558	0.1168	0.0288	0.3815
15+	8.9541	2.0772	5.9214	12.5622
