age	mean	sd	5%	95%
1	3.4362	0.7908	2.2083	4.8289
2	52.6507	4.9537	45.2598	60.6478
3	3.9356	0.6312	2.8779	5.0618
4	79.1571	6.5051	68.663	90.4258
5	27.8762	2.8914	23.6646	33.0188
6	28.9057	3.2385	24.0987	34.5223
7	87.3425	7.2647	75.2543	99.5567
8	67.9047	5.0961	59.3921	76.2855
9	33.3229	3.2773	28.2172	39.3088
10	28.959	3.0074	24.4693	34.1846
11	25.3418	2.8831	20.4464	30.0687
12	10.5674	1.5956	8.0996	13.3111
13	3.7827	0.7429	2.5207	4.9284
14	1.6992	0.3986	1.1809	2.4573
15+	1.3556	0.4008	0.8169	1.9868
