age	mean	sd	5%	95%
1	0.6219	0.3581	0.2249	1.2755
2	16.0379	6.024	8.3441	27.1608
3	49.9626	17.45	25.2166	80.5065
4	244.8377	35.1221	186.9002	300.6272
5	60.2145	13.2024	42.5447	83.6274
6	142.7864	26.762	104.3803	188.0593
7	79.4098	17.4343	55.2821	108.8479
8	180.2583	30.1309	136.2553	235.8296
9	35.3483	8.7433	21.968	50.3354
10	22.5468	6.7745	12.0432	33.137
11	173.9316	29.9889	129.3876	230.5882
12	14.8516	4.9542	7.687	24.0026
13	147.338	26.3511	105.9966	193.1485
14	1.5085	0.879	0.453	3.1902
15+	44.173	8.6856	31.0978	58.9573
