omr	lok	lat	lon
0	3	67.25	11.5
0	4	67.5	12
0	5	67.25	13.5
0	10	67.75	13.5
0	11	67.75	14.5
0	37	68.5	17
0	38	68.25	16
0	44	68.25	15.5
0	45	68	15.5
0	46	68.25	15
0	47	70	14
0	48	68	14
0	49	67.5	13
0	50	67.5	14
0	51	67.75	15.5
0	52	67	13
0	53	67.25	14.5
0	54	67.25	15
1	1	67.75	41.5
1	1	67.75	41.5
1	1	67.75	41.5
1	3	67.5	43
1	3	67.5	43
1	3	67.5	43
1	3	67.5	43
1	4	67.5	47
1	4	67.5	47
1	4	67.5	47
1	4	67.5	47
1	4	67.5	47
1	4	67.5	47
1	4	67.5	47
1	5	68.5	41
1	5	68.5	41
1	5	68.5	41
1	5	68.5	41
1	6	68.5	43
1	6	68.5	43
1	6	68.5	43
1	6	68.5	43
1	7	68.75	45
1	7	68.75	45
1	8	68.5	47
1	8	68.5	47
1	8	68.5	47
1	8	68.5	47
1	9	68.5	49
1	9	68.5	49
1	9	68.5	49
1	9	68.5	49
1	10	68.5	51
1	10	68.5	51
1	10	68.5	51
1	10	68.5	51
1	11	69.5	41
1	11	69.5	41
1	11	69.5	41
1	11	69.5	41
1	12	69.5	43
1	12	69.5	43
1	12	69.5	43
1	12	69.5	43
1	13	69.5	45
1	13	69.5	45
1	13	69.5	45
1	13	69.5	45
1	14	69.5	47
1	14	69.5	47
1	14	69.5	47
1	14	69.5	47
1	15	69.5	49
1	15	69.5	49
1	15	69.5	49
1	15	69.5	49
1	16	69.5	51
1	16	69.5	51
1	16	69.5	51
1	16	69.5	51
1	17	69.5	53
1	17	69.5	53
1	17	69.5	53
1	17	69.5	53
1	18	69.5	55
1	18	69.5	55
1	18	69.5	55
1	18	69.5	55
1	19	69.5	57
1	19	69.5	57
1	19	69.5	57
1	19	69.5	57
1	20	69.5	59
1	20	69.5	59
1	20	69.5	59
1	20	69.5	59
1	21	68.75	59.5
1	22	68.75	57
1	22	68.75	57
1	23	68.75	55
1	23	68.75	55
1	24	68.75	52.5
2	1	68.25	39.5
2	1	68.25	39.5
2	2	68.75	37.5
2	3	68.75	38.5
2	4	68.75	39.5
2	5	69.25	33.5
2	6	69.25	34.5
2	7	69.25	35.5
2	8	69.25	36.5
2	9	69.25	37.5
2	10	69.25	38.5
2	11	69.25	39.5
2	12	69.5	33
2	13	69.75	34.5
2	14	69.75	35.5
2	15	69.75	36.5
2	16	69.75	37.5
2	17	69.75	38.5
2	18	69.75	39.5
3	1	69.75	31.5
3	2	70	30.5
3	2	70	30.5
3	3	70.25	31.5
3	4	70.25	32.5
3	5	70.75	28.5
3	6	70.75	29.5
3	7	70.75	30.5
3	8	70.75	31.5
3	9	70.75	32.5
3	10	71.25	26.5
3	11	71.25	27.5
3	12	71.25	28.5
3	13	71.25	29.5
3	14	71.25	30.5
3	15	71.25	31.5
3	16	71.25	32.5
3	17	71.75	27.5
3	18	71.75	28.5
3	19	71.75	29.5
3	20	71.75	30.5
3	21	71.75	31.5
3	22	71.75	32.5
3	23	71.75	26.5
3	24	70.75	26
3	25	70.75	27
3	26	70	32.5
4	1	70.25	18.5
4	2	70.25	19.5
4	3	70.25	20.5
4	4	70.5	21.5
4	5	70.25	22.5
4	6	70.75	16.5
4	7	70.75	17.5
4	8	70.75	18.5
4	9	70.75	19.5
4	10	70.75	20.5
4	11	70.75	21.5
4	12	70.75	22.5
4	13	70.75	23.5
4	14	70.75	24.5
4	15	70.25	23
4	16	71.25	15.5
4	17	71.25	16.5
4	18	71.25	17.5
4	19	71.25	18.5
4	20	71.25	19.5
4	21	71.25	20.5
4	22	71.25	21.5
4	23	71.25	22.5
4	24	71.25	23.5
4	25	71.25	24.5
4	26	71.25	25.5
4	27	70	21
4	28	70	20
4	29	69.75	20.5
5	1	67.25	9.5
5	2	67.25	10.5
5	6	67.75	9.5
5	7	67.75	10.5
5	8	67.75	11.5
5	9	67.75	12.5
5	12	68.25	10.5
5	13	68.25	11.5
5	14	68.25	12.5
5	15	68.25	13.5
5	16	68.5	14
5	17	68.75	11.5
5	18	68.75	12.5
5	19	68.75	13.5
5	20	68.75	14.5
5	21	69.25	12.5
5	22	69.25	13.5
5	23	69.25	14.5
5	24	69.25	15.5
5	25	69.25	16.5
5	26	69.75	13.5
5	27	69.75	14.5
5	28	69.75	15.5
5	29	69.75	16.5
5	30	69.75	17.5
5	31	69.75	18.5
5	32	70.25	14.5
5	33	70.25	15.5
5	34	70.25	16.5
5	35	70.25	17.5
5	36	70.75	15.5
5	39	69.5	19
5	40	69.5	18.5
5	41	69	17
5	42	68.75	16
5	43	68.75	15.5
6	1	64.25	4.5
6	2	64.25	5.5
6	3	64.25	6.5
6	4	64.25	7.5
6	5	64.25	8.5
6	6	64.25	9.5
6	7	64.75	5.5
6	8	64.75	6.5
6	9	64.75	7.5
6	10	64.75	8.5
6	11	64.75	9.5
6	12	64.75	10.5
6	13	65.25	6.5
6	14	65.25	7.5
6	15	65.25	8.5
6	16	65.25	9.5
6	17	65.25	10.5
6	18	65.25	11.5
6	19	65.75	7.5
6	20	65.75	8.5
6	21	65.75	9.5
6	22	65.75	10.5
6	23	65.75	11.5
6	24	66.25	8.5
6	25	66.25	9.5
6	26	66.25	10.5
6	27	66.25	11.5
6	28	66.75	9.5
6	29	66.75	10.5
6	30	66.75	11.5
6	31	66.75	12.5
6	32	66.75	13.5
6	33	66.25	12.5
6	34	66.25	13.5
6	35	65.75	12.5
6	36	65.25	12.5
6	37	64.75	11.5
6	38	64.5	10
7	5	62.25	4.5
7	6	62.75	5.5
7	7	63.25	7.5
7	8	63.75	8.5
7	13	62.25	3.5
7	14	62.75	3.5
7	15	62.75	4.5
7	16	63.25	3.5
7	17	63.25	4.5
7	18	63.25	5.5
7	19	63.25	6.5
7	20	63.75	3.5
7	21	63.75	4.5
7	22	63.75	5.5
7	23	63.75	6.5
7	24	63.75	7.5
7	25	63.75	9.5
7	26	63.5	10.5
7	27	63.75	11
7	28	63.5	9
7	29	63.25	8.5
7	30	63	8
7	31	62.75	6.5
7	32	62.75	7.5
7	33	62.25	5.5
7	34	62.5	6
7	35	62.25	7
8	1	58.25	5.5
8	2	58.75	5.5
8	3	59.25	4.5
8	4	59.75	4.5
8	5	57.75	3.5
8	6	57.75	4.5
8	7	57.75	5.5
8	8	57.75	6.5
8	9	58.25	3.5
8	10	58.25	4.5
8	11	58.75	3.5
8	12	58.75	4.5
8	13	59.25	3.5
8	14	59.75	3.5
8	15	59.75	5
8	16	59.25	5.5
8	17	58.25	6.5
8	18	59	6
8	19	59.25	6
8	20	59.75	6
8	21	60.25	6
8	51	57.75	2.5
8	52	58.25	2.5
8	53	58.75	2.5
8	54	59.25	2.5
8	55	59.75	2.5
9	1	56.25	11.5
9	2	56.25	12.5
