omr	lok	lat	lon
0	0	67.24	11.4
0	3	67.25	11.5
0	4	67.25	12.25
0	5	67.1667	13.5
0	10	67.775	13.4125
0	11	67.75	14.5917
0	37	68.35	17.075
0	38	68.025	16.375
0	44	68.2583	15.5451
0	45	67.9083	15.5125
0	46	68.1833	14.5172
0	47	67.9167	14.1167
0	48	68.1083	13.6917
0	49	67.75	12.875
0	50	67.6667	13.75
0	51	67.5667	15.6333
0	52	67.25	12.75
0	53	67.1667	14.375
0	54	67.1	15.625
1	0	67.5	41.0
1	1	67.5	41.0
1	3	67.5	43.5
1	4	67.5	47.5
1	5	68.5	41.0
1	6	68.5	43.0
1	7	68.5	45.0
1	8	68.5	47.0
1	9	68.5	49.0
1	10	68.5	51.0
1	11	69.5	41.0
1	12	69.5	43.0
1	13	69.5	45.0
1	14	69.5	47.0
1	15	69.5	49.0
1	16	69.5	51.0
1	17	69.5	53.0
1	18	69.5	55.0
1	19	69.5	57.0
1	20	69.5	59.0
1	21	68.5	59.0
1	22	68.5	57.0
1	23	68.5	55.0
1	24	68.5	53.0
2	1	68.25	39.0833
2	2	68.75	37.25
2	3	68.75	38.5
2	4	68.75	39.5
2	5	69.1667	33.25
2	6	69.25	34.5
2	7	69.25	35.5
2	8	69.25	36.5
2	9	69.25	37.5
2	10	69.25	38.5
2	11	69.25	39.5
2	12	69.75	33.5
2	13	69.75	34.5
2	14	69.75	35.5
2	15	69.75	36.5
2	16	69.75	37.5
2	17	69.75	38.5
2	18	69.75	39.5
3	0	69.75	31.5667
3	1	69.75	31.5667
3	2	69.9167	29.6607
3	3	70.25	31.5
3	4	70.25	32.5
3	5	70.3917	27.9773
3	6	70.6667	29.5
3	7	70.6667	30.5
3	8	70.75	31.5
3	9	70.75	32.5
3	10	71.25	26.5
3	11	71.15	27.5
3	12	71.1667	28.5
3	13	71.25	29.5
3	14	71.25	30.5
3	15	71.25	31.5
3	16	71.25	32.5
3	17	71.75	27.5
3	18	71.75	28.5
3	19	71.75	29.5
3	20	71.75	30.5
3	21	71.75	31.5
3	22	71.75	32.5
3	23	71.75	26.5
3	24	70.5	25.5
3	25	70.5	26.7344
3	26	69.8667	32.5
4	0	70.25	18.5
4	1	70.25	18.5
4	2	70.25	19.5
4	3	70.25	20.5
4	4	70.3083	21.48
4	5	70.3417	22.3833
4	6	70.75	16.5
4	7	70.75	17.5
4	8	70.75	18.5
4	9	70.75	19.5
4	10	70.75	20.5
4	11	70.75	21.5
4	12	70.775	22.5703
4	13	70.6917	23.6016
4	14	70.625	24.4313
4	15	70.1833	23.7167
4	16	71.25	15.5
4	17	71.25	16.5
4	18	71.25	17.5
4	19	71.25	18.5
4	20	71.25	19.5
4	21	71.25	20.5
4	22	71.25	21.5
4	23	71.25	22.5
4	24	71.25	23.5
4	25	71.1833	24.5
4	26	71.0	25.2917
4	27	69.8583	21.56
4	28	69.625	19.9051
4	29	69.625	20.8083
5	0	67.25	9.5
5	1	67.25	9.5
5	2	67.25	10.5
5	6	67.75	9.5
5	7	67.75	10.5
5	8	67.75	11.5
5	9	67.75	12.375
5	12	68.25	10.5
5	13	68.25	11.5
5	14	68.25	12.5
5	15	68.25	13.5
5	16	68.3583	14.4417
5	17	68.75	11.5
5	18	68.75	12.5
5	19	68.75	13.5
5	20	68.75	14.5833
5	21	69.25	12.5
5	22	69.25	13.5
5	23	69.25	14.5
5	24	69.25	15.5
5	25	69.25	16.75
5	26	69.75	13.5
5	27	69.75	14.5
5	28	69.75	15.5
5	29	69.75	16.5
5	30	69.725	17.5
5	31	69.7833	18.4833
5	32	70.25	14.5
5	33	70.25	15.5
5	34	70.25	16.5
5	35	70.25	17.5
5	36	70.75	15.5
5	39	69.5	19.1202
5	40	69.3	18.6719
5	41	68.9917	17.3333
5	42	68.7583	16.017
5	43	68.75	15.4333
6	0	64.25	4.5
6	1	64.25	4.5
6	2	64.25	5.5
6	3	64.25	6.5
6	4	64.25	7.5
6	5	64.25	8.5
6	6	64.1833	9.5
6	7	64.75	5.5
6	8	64.75	6.5
6	9	64.75	7.5
6	10	64.75	8.5
6	11	64.75	9.5
6	12	64.7083	10.5
6	13	65.25	6.5
6	14	65.25	7.5
6	15	65.25	8.5
6	16	65.25	9.5
6	17	65.25	10.5
6	18	65.1917	11.4969
6	19	65.75	7.5
6	20	65.75	8.5
6	21	65.75	9.5
6	22	65.75	10.5
6	23	65.75	11.5
6	24	66.25	8.5
6	25	66.25	9.5
6	26	66.25	10.5
6	27	66.25	11.5
6	28	66.75	9.5
6	29	66.75	10.5
6	30	66.75	11.5
6	31	66.75	12.5
6	32	66.7083	13.525
6	33	66.2083	12.6
6	34	66.25	13.8167
6	35	65.675	12.625
6	36	65.175	12.5586
6	37	64.625	11.75
6	38	64.25	10.5
7	0	62.25	4.5
7	5	62.25	4.5
7	6	62.75	5.5
7	7	63.2083	7.5
7	8	63.75	8.5
7	13	62.25	3.5
7	14	62.75	3.5
7	15	62.75	4.5
7	16	63.25	3.5
7	17	63.25	4.5
7	18	63.25	5.5
7	19	63.25	6.5
7	20	63.75	3.5
7	21	63.75	4.5
7	22	63.75	5.5
7	23	63.75	6.5
7	24	63.75	7.5
7	25	63.7333	9.4125
7	26	63.4	10.375
7	27	63.875	11.0
7	28	63.275	8.8333
7	29	62.9583	8.5708
